Fecha,ALIMENTOS Y BEBIDAS,SUMINISTROS INDUSTRIALES,COMBUSTIBLES Y LUBRICANTES,BIENES DE CAPITAL,EQUIPO DE TRANSPORTE Y SUS PIEZAS Y ACCESORIOS,ARTÍCULOS DE CONSUMO
2015-03-01,56.520488,258.016322,76.552085,214.838331,160.436247,103.78398
2015-04-01,51.322513,233.834581,56.949057,190.859349,145.180168,88.015082
2015-05-01,43.651276,222.79745,83.649282,200.3967,139.783854,88.529517
2015-06-01,49.704573,262.355856,63.170703,186.434395,107.92994,83.304806
2015-07-01,53.72114,232.003236,165.763512,187.605685,118.537789,102.544752
2015-08-01,47.490842,212.91687,53.079074,218.332051,135.209181,92.821893
2015-09-01,57.738236,241.833618,73.897338,179.862732,145.341189,102.246566
2015-10-01,54.21789,251.063319,104.473412,231.545111,145.576795,105.736262
2015-11-01,48.491646,229.191997,104.511077,169.454645,140.729384,96.459163
2015-12-01,53.835562,250.974829,146.694935,226.11587,211.904,110.443473
2016-01-01,41.626963,193.540609,42.937611,153.239598,182.278736,75.476198
2016-02-01,42.150815,187.592434,40.481927,165.170124,118.258753,81.438054
2016-03-01,55.019967,229.230697,49.284157,156.778439,100.134775,104.446222
2016-04-01,49.624668,214.968139,32.192676,171.390631,108.83216,92.128112
2016-05-01,47.814855,214.534759,57.037516,163.774707,98.453357,94.284327
2016-06-01,51.810704,229.196094,75.465886,155.301054,106.813252,92.289518
2016-07-01,49.390706,197.83135,64.953875,151.085462,181.494656,94.424827
2016-08-01,54.578323,229.788485,52.243065,141.443754,127.834355,89.144343
2016-09-01,64.690684,222.759859,72.499487,153.588789,110.002223,91.281578
2016-10-01,52.799324,224.037447,108.272987,138.785632,106.550213,82.096693
2016-11-01,65.781617,242.754991,81.382685,155.701061,111.198077,101.645732
2016-12-01,59.190101,236.659245,88.966127,200.750141,149.157733,116.159728
2017-01-01,52.986412,233.310875,58.696905,153.710956,122.328852,89.399959
2017-02-01,58.376258,193.5829,74.964169,198.063689,104.809446,84.28106
2017-03-01,64.095056,254.53195,93.981668,180.641087,126.759188,106.054171
2017-04-01,53.331375,208.00691,37.359937,170.74384,109.070678,91.966149
2017-05-01,55.264893,231.189404,80.95033,187.916171,140.83941,109.935197
2017-06-01,54.353178,216.058115,57.237085,191.547864,113.879223,94.7032
2017-07-01,50.050169,215.171694,74.687509,173.072954,133.176925,92.348
2017-08-01,56.082588,251.022534,113.011359,205.647913,138.459947,105.418244
